County,Cases,Reported_Deaths,Date
Eaton,74,4,"2020-04-12"
Emmet,21,2,"2020-04-12"
Genesee,955,68,"2020-04-12"
Gladwin,4,,"2020-04-12"
Gogebic,4,1,"2020-04-12"
Grand Traverse,17,3,"2020-04-12"
Gratiot,7,,"2020-04-12"
Hillsdale,75,6,"2020-04-12"
Houghton,1,,"2020-04-12"
Huron,6,,"2020-04-12"
Ingham,250,3,"2020-04-12"
Ionia,14,2,"2020-04-12"
Iosco,4,1,"2020-04-12"
Isabella,39,3,"2020-04-12"
Jackson,171,4,"2020-04-12"
Kalamazoo,84,7,"2020-04-12"
Kalkaska,13,2,"2020-04-12"
Kent,287,13,"2020-04-12"
Lake,1,,"2020-04-12"
Lapeer,101,6,"2020-04-12"
Leelanau,4,,"2020-04-12"
Lenawee,47,,"2020-04-12"
Livingston,209,4,"2020-04-12"
Luce,1,,"2020-04-12"
Mackinac,4,,"2020-04-12"
Macomb,3254,217,"2020-04-12"
Manistee,10,,"2020-04-12"
Marquette,22,4,"2020-04-12"
Mason,2,,"2020-04-12"
Mecosta,11,1,"2020-04-12"
Menominee,1,,"2020-04-12"
Midland,31,1,"2020-04-12"
Missaukee,1,1,"2020-04-12"
Monroe,183,6,"2020-04-12"
Montcalm,22,1,"2020-04-12"
Muskegon,59,4,"2020-04-12"
Newaygo,6,,"2020-04-12"
Oakland,4915,329,"2020-04-12"
Oceana,3,1,"2020-04-12"
Ogemaw,4,,"2020-04-12"
Osceola,4,,"2020-04-12"
Oscoda,4,,"2020-04-12"
Otsego,33,2,"2020-04-12"
Ottawa,66,2,"2020-04-12"
Presque Isle,2,,"2020-04-12"
Roscommon,9,,"2020-04-12"
Saginaw,274,9,"2020-04-12"
Sanilac,23,2,"2020-04-12"
Schoolcraft,2,,"2020-04-12"
Shiawassee,54,1,"2020-04-12"
St Clair,199,6,"2020-04-12"
St Joseph,21,,"2020-04-12"
Tuscola,45,7,"2020-04-12"
Van Buren,21,1,"2020-04-12"
Washtenaw,716,18,"2020-04-12"
Wayne,4662,336,"2020-04-12"
Wexford,7,1,"2020-04-12"
MDOC*,370,8,"2020-04-12"
FCI**,24,,"2020-04-12"
Unknown,86,12,"2020-04-12"
Out of State,144,1,"2020-04-12"
